#            mprod              mhscp              width               c300
     1.5000000e+03      6.5000000e+02      1.0000000e-16      8.7749721e-03
     1.5000000e+03      6.5000000e+02      1.5000000e-16      1.3371774e-03
     1.5000000e+03      6.5000000e+02      2.2000000e-16      1.1951889e-04
     1.5000000e+03      6.5000000e+02      3.2000000e-16      5.0615204e-06
     1.5000000e+03      6.5000000e+02      4.6000000e-16      8.7617436e-08
     1.5000000e+03      6.5000000e+02      6.8000000e-16      2.6279217e-10
     2.0000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     2.0000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      6.5000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.1000000e+03      0.0000000e+00      4.8592336e-01
     1.5000000e+03      1.1000000e+03      1.0000000e-18      4.5739095e-01
     1.5000000e+03      1.1000000e+03      5.6000000e-18      3.4665233e-01
     1.5000000e+03      1.1000000e+03      3.2000000e-17      7.3879272e-02
     1.5000000e+03      1.1000000e+03      4.6000000e-17      3.3866814e-02
     1.5000000e+03      1.1000000e+03      6.8000000e-17      1.0561333e-02
     1.5000000e+03      1.1000000e+03      1.0000000e-16      2.1867729e-03
     1.5000000e+03      1.1000000e+03      1.5000000e-16      2.3353688e-04
     1.5000000e+03      1.1000000e+03      2.2000000e-16      1.3918285e-05
     1.5000000e+03      1.1000000e+03      3.2000000e-16      3.6430283e-07
     1.5000000e+03      1.1000000e+03      4.6000000e-16      3.5137807e-09
     2.0000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     2.0000000e+02      1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.1000000e+03      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.2000000e+03      1.0000000e-22      4.2680163e-01
     1.5000000e+03      1.2000000e+03      0.0000000e+00      4.2680437e-01
     1.5000000e+03      1.2000000e+03      1.0000000e-18      4.0033939e-01
     1.5000000e+03      1.2000000e+03      5.6000000e-18      2.9903817e-01
     1.5000000e+03      1.2000000e+03      3.2000000e-17      5.9976935e-02
     1.5000000e+03      1.2000000e+03      4.6000000e-17      2.6765787e-02
     1.5000000e+03      1.2000000e+03      6.8000000e-17      8.0226177e-03
     1.5000000e+03      1.2000000e+03      1.0000000e-16      1.5742983e-03
     1.5000000e+03      1.2000000e+03      1.5000000e-16      1.5589424e-04
     1.5000000e+03      1.2000000e+03      2.2000000e-16      8.4873254e-06
     1.5000000e+03      1.2000000e+03      3.2000000e-16      1.9987079e-07
     1.5000000e+03      1.2000000e+03      4.6000000e-16      1.6999520e-09
     2.0000000e+02      1.5000000e+02      1.0000000e+06      0.0000000e+00
     2.0500000e+02      2.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.2000000e+03      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.4000000e+03      1.0000000e-22      2.5785647e-01
     1.5000000e+03      1.4000000e+03      0.0000000e+00      2.5785835e-01
     1.5000000e+03      1.4000000e+03      1.0000000e-18      2.3978715e-01
     1.5000000e+03      1.4000000e+03      5.6000000e-18      1.7281845e-01
     1.5000000e+03      1.4000000e+03      2.2000000e-17      5.7431998e-02
     1.5000000e+03      1.4000000e+03      3.2000000e-17      3.0452751e-02
     1.5000000e+03      1.4000000e+03      4.6000000e-17      1.3012791e-02
     1.5000000e+03      1.4000000e+03      6.8000000e-17      3.6941872e-03
     1.5000000e+03      1.4000000e+03      1.0000000e-16      6.7888142e-04
     1.5000000e+03      1.4000000e+03      1.5000000e-16      6.1239424e-05
     1.5000000e+03      1.4000000e+03      2.2000000e-16      2.9503228e-06
     1.5000000e+03      1.4000000e+03      3.2000000e-16      6.0223909e-08
     1.5000000e+03      1.4000000e+03      4.6000000e-16      4.4921789e-10
     2.0500000e+02      2.0000000e+02      1.0000000e+06      0.0000000e+00
     2.1000000e+02      2.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.5500000e+03      1.4000000e+03      0.0000000e+00      2.5199444e-01
     1.5500000e+03      1.4000000e+03      1.0000000e-19      2.5014565e-01
     3.0000000e+03      6.0000000e+02      6.8000000e-17      1.7712722e-02
